Gilbert, Lewis                          
Benigni, Roberto                        
Schlesinger, John                       
Hackman, Gene                           
Reggio, Godfrey                         
Myers, Mike                             
Lean, David                             
Lee, Spike                              
Lee, Ang                                
Campion, Jane                           
Zwick, Edward                           
Keaton, Michael                         
McDormand, Frances                      
Douglas, Michael                        
Oliver Stone                            
Reiner, Rob                             
Parker, Alan                            
Radford, Michael                        
Hackford, Taylor                        
Imamura, Shohei                         
Garcia, Andy                            
Spielberg, Steven                       
Chabrol, Claude                         
Malle, Louis                            
Jolie, Angelina                         
Burns, Ken                              
Sutherland, Kiefer                      
Smith, Kevin                            
Scott, Tony                             
Fonda, Bridget                          
Redgrave, Vanessa                       
Marshall, Penny                         
Frears, Stephen                         
Kieslowski, Kryzstof                    
Pasolini, Pier                          
Channing, Stockard                      
Cameron, James                          
Rossellini, Isabella                    
Dafoe, Willem                           
Bates, Kathy                            
Robert Townsend                         
Donner, Richard                         
Penn, Sean                              
Mifune, Toshiro                         
Stewart, Patrick                        
Jewison, Norman                         
Schwarzenegger, Arnold                  
Brooks Mel                              
Turner, Kathleen                        
