A beautiful mind                        
Kahn, Madeline                          
Kane, Carol                             
Karloff, Boris                          
Katharine Hepburn                       
Kattan, Chris                           
Kaye, Danny                             
keaton, buster                          
Keaton, Diane                           
Keaton, Michael                         
Keener, Catherine                       
Keeslar, Matt                           
Keitel, Harvey                          
Kelly, Gene                             
Kelly, Grace                            
Khan, Aamir                             
Kidman, Nicole                          
Kier, Udo                               
Kilmer, Val                             
Kim Hunter                              
Kingsley, Ben                           
Kingston, Alex                          
Kinnear, Greg                           
Kinski, Klaus                           
Kinski, Nastassja                       
Kitchen, Micheal                        
Kline, Kevin                            
Knight, Wayne                           
Kostner, Kevin                          
Kotto, Yaphet                           
Krabbe, Jeroen                          
Kristel, Sylvia                         
Kristofferson, Kris                     
Kudrow, Lisa                            
Kurtz, Swoosie                          
Ladd, Alan                              
Lake, Veronica                          
Lambert, Christopher                    
Lancaster, Burt                         
Landau, Martin                          
Lane, Diane                             
Lane, Nathan                            
Lange, Jessica                          
Langella, Frank                         
Lansbury, Angela                        
LaPaglia, Anthony                       
Larter, Ali                             
Lathan, Sanaa                           
Latifah, Queen                          
Laura Linney                            
Laurence Olivier                        
Laurie, Hugh                            
Law, Jude                               
Lawrence, Joey                          
Lawrence, Martin                        
Leachman, Cloris                        
Leary, Denis                            
Léaud, Jean-Pierre                      
Ledger, Heath                           
Lee Marvin                              
Lee, Ang                                
Lee, Brandon                            
Lee, Bruce                              
Lee, Christopher                        
Lee, Hyapatia                           
Lee, Jason                              
Leguizamo, John                         
Leigh, Jennifer Jason                   
Leigh, Vivien                           
Lemmon , Jack                           
Lemmon, Jack                            
Leonard, Robert Sean                    
Leoni, Tea                              
Leto, Jared                             
Levine, Ted                             
Levy, Eugene                            
Lewis, Jerry                            
Lewis, Juliette                         
Li, Gong                                
Li, Jet                                 
Lillard, Matthew                        
Lindo, Delroy                           
Linney, Laura                           
Liotta, Ray                             
Lithgow, John                           
Liu, Lucy                               
Livesey, Roger                          
Llewelyn, Desmond                       
Lloyd, Christopher                      
Locklear, Heather                       
Loggia, Robert                          
Logue, Donal                            
Long, Nia                               
Lopez, Jennifer                         
Loren, Sophia                           
Lorre, Peter                            
Love, Courtney                          
Love-Hewitt, Jennifer                   
Lovitz, Jon                             
Lowe, Chad                              
Lowe, Rob                               
Loy, Myrna                              
Lucas, George                           
Lucas, Josh                             
Lumley, Joanna                          
Lupino, Ida                             
Lynch, David                            
Lynley, Carol                           
Lyonne, Natasha                         
Mac, Bernie                             
MacDowell, Andie                        
MacGraw, Ali                            
MacLachlan, Kyle                        
MacLaine, Shirley                       
MacMurray, Fred                         
MacPherson, Elle                        
Macy, William H.                        
Madonna                                 
Madsen, Michael                         
Maggart, Garett                         
Magnuson, Ann                           
Maguire, Tobey                          
Mahoney, John                           
Malkovich, John                         
Malone, Jena                            
Mann, Gabriel                           
Mantegna, Joe                           
Marceau, Sophie                         
March, Frederick                        
Margolyes, Miriam                       
Marin, Cheech                           
Martin, Andrea                          
Martin, Steve                           
Marvin, Lee                             
Marx Brothers, The                      
Masina,  Giulietta                      
Masina, Giulietta                       
Mason, James                            
Masterson, Mary Stuart                  
Matheson, Tim                           
Mathis, Samantha                        
Matthau, Walter                         
Mazar, Debi                             
McConaughey, Matthew                    
McCormack, Catherine                    
McCormack, Mary                         
McDonald, Christopher                   
McDonald, Norm                          
McDonnell, Mary                         
McDormand, Frances                      
McDowall, Roddy                         
McDowell, Andy                          
McDowell, Malcolm                       
McFadden, Gates                         
McGill, Bruce                           
McGinley, John C.                       
McGovern, Elizabeth                     
McGowan, Rose                           
McGregor, Ewan                          
McKellen, Ian                           
McQueen, Steve                          
Meaney, Colm                            
Meryl Streep                            
Messing, Deborah                        
Metcalf, Laurie                         
Mewes, Jason                            
Meyer, Dina                             
Meyer, Mike                             
Mickey Mouse                            
Midkiff, Dale                           
Midler, Bette                           
Mifune, Toshiro                         
Milano, Alyssa                          
Miller, Dennis                          
Miller, Penelope Ann                    
Mills, John                             
Minnelli, Liza                          
Mirren, Helen                           
Mitchum, Robert                         
Modine, Matthew                         
Mohr, Jay                               
Molina, Alfred                          
Monica Belluci                          
Monroe, Marilyn                         
Montagna Joe                            
Moore, Demi                             
Moore, Dudley                           
Moore, Julianne                         
Moore, Roger                            
Moreau, Jeanne                          
Moriarty, Cathy                         
Moriarty, Michael                       
Morse, David                            
Mortensen, Viggo                        
Morton, Joe                             
Moss, Carrie-Anne                       
Mueller-Stahl, Armin                    
Mulroney, Dermot                        
Muni, Paul                              
Murphy, Brittany                        
Murphy, Eddie                           
Murray, Bill                            
Myers, Mike                             
Neeson, Liam                            
Neill, Sam                              
Nelligan, Kate                          
Neuwirth, Bebe                          
Newman, Paul                            
Newton, Thandie                         
Nicholas Cage                           
Nicholson, Jack                         
Nielse, Leslie                          
Nielsen, Leslie                         
Nimoy, Leonard                          
Niven, David                            
Nivola, Alessandro                      
Nolte, Nick                             
Norris, Chuck                           
Northam, Jeremy                         
Norton, Edward                          
Noth, Chris                             
Novak, Kim                              
Oates, Warren                           
O'Connor, Donald                        
O'Connor, Frances                       
O'Connor, Kevin J.                      
O'Donnell, Chris                        
O'Hara, Catherine                       
Oldman, Gary                            
Olin, Lena                              
Olivia deHavilland                      
Olivier, Laurence                       
Olivier, Lawrence                       
O'Neal, Ryan                            
Ormond, Julia                           
Osment, Haley Joel                      
O'Toole, Annette                        
O'Toole, Peter                          
Outinen, Kati                           
Owen, Clive                             
Oz, Frank                               
Pacino, Al                              
Palance, Jack                           
Palin, Michael                          
Palminteri, Chazz                       
Paltrow, Gwyneth                        
Pantoliano, Joe                         
Paquin, Anna                            
Parker, Mary-Louise                     
Parker, Sarah Jessica                   
Parton, Dolly                           
Patinkin, Mandy                         
Patrick, Robert                         
Patton, Will                            
Paul Newman                             
Paul, Adrian                            
Paxton, Bill                            
Paymer, David                           
Pearce, Guy                             
Peck, Gregory                           
Peet, Amanda                            
Pellonpää, Matti                        
Penn, Chris                             
Penn, Sean                              
Perez, Rosie                            
Perez, Vincent                          
Perlman, Ron                            
Pesci, Joe                              
Peter Cushing                           
Petersen, Williams                      
Peterson, William                       
Pfeiffer, Michelle                      
Pheonix, River                          
Phifer, Mekhi                           
Philipps, Busy                          
Phillippe, Ryan                         
Phillips, Lou Diamond                   
Phoenix, Joaquin                        
Phoenix, River                          
Pidgeon, Rebecca                        
Pierce, David Hyde                      
Pitt, Brad                              
Piven, Jeremy                           
Platt, Oliver                           
Pleasence, Donald                       
Plimpton, Martha                        
Plowright, Joan                         
Plummer, Amanda                         
Plummer, Christopher                    
Poitier, Sidney                         
Pollack, Sydney                         
Pollak, Kevin                           
Portman, Natalie                        
Posey, Parker                           
Postlethwaite, Pete                     
Potente, Franka                         
Powell, William                         
Pressly, Jaime                          
Preston, Kelly                          
Price, Vincent                          
Prinze Jr., Freddie                     
Professional, The                       
Pryce, Jonathan                         
Pryor, Richard                          
Pullman, Bill                           
Pulp Fiction                            
Puri, Om                                
Quaid, Dennis                           
Quaid, Randy                            
Quinlan, Kathleen                       
Quinn, Aidan                            
Quinn, Anthony                          
Rai, Aishwarya                          
Raiders of the Lost Ark                 
Rains, Claude                           
Ramis, Harold                           
Rampling, Charlotte                     
Rapaport, Michael                       
Raquel Welch                            
Ratzenberger, John                      
Rea, Stephen                            
Redford, Robert                         
Redgrave, Vanessa                       
Reed, Pamela                            
Reeve, Christopher                      
Reeves, Keanu                           
Reid, Tara                              
Reilly, John C.                         
Reiner, Rob                             
Reinhold, Judge                         
Reiser, Paul                            
Remar, James                            
Renfro, Brad                            
Reno, Jean                              
Renzie, Maggie                          
Reservoir Dogs                          
Reubens, Paul                           
Reynolds, Burt                          
Rhames, Ving                            
Rhys-Davies, John                       
Ribisi, Giovanni                        
Ricci, Christina                        
Richards, Denise                        
Richardson, Ian                         
Richardson, Joely                       
Richardson, Miranda                     
Richardson, Natasha                     
Richter, Andy                           
Rickles, Don                            
Rickman, Alan                           
Riegel, Eden                            
Rifkin, Ron                             
Ringwald, Molly                         
Ritter, John                            
Ritter, Thelma                          
Robards, Jason                          
Robbins, Tim                            
Robert Deniro                           
Roberts, Julia                          
Robinson, Edward G.                     
Rock, Chris                             
Rodriguez, Michelle                     
Rogers, Ginger                          
Rollins, Henry                          
Rooker, Michael                         
Rooney, Mickey                          
Root, Stephen                           
Ross, Matt                              
Rossellini, Isabella                    
Roth, Cecilia                           
Roth, Tim                               
Roundtree, Richard                      
Rourke, Mickey                          
Rowlands, Gena                          
Rush, Geoffrey                          
Russell, Kurt                           
Russo, James                            
Russo, Rene                             
